Date,totalTestResults,positive,death,State,AirPol,Obesity,Drug_death,Excessive_Drinking,Smoking,Physician,Uninsured,Inactivity,Hosp_bed.x,Hosp_bed.y,OPM,MDI,Popdensity,Pop,Abbre,Confirmed,Neg,pending
4/30/2020,378239,32529,1290,Florida,7.4,30.7,21.4,18.2,14.5,131.3,13,26.8,2.6,2.6,14,14.3,378,20271272,FL,1171,11063,860
4/30/2020,107736,27700,2257,Connecticut,7.2,27.4,26.4,19,12.2,220,5.4,22.4,2,2,9.6,11.1,741,3590886,CT,415,4085,0
4/30/2020,247918,118652,8664,New Jersey,8.1,25.6,22.8,15.2,13.1,181,7.6,28.5,2.4,2.4,10,11.9,1218,8958013,NJ,2844,359,94
4/30/2020,118325,21742,1226,Maryland,7.7,30.9,30.2,14.6,12.5,192.1,6.1,22.9,1.9,1.9,9.3,14.2,618,6006401,MD,288,94,0
4/30/2020,56512,6095,244,South Carolina,7.4,34.3,18,16.7,18,131.3,10.8,26.7,2.4,2.4,15.4,14.6,162,4896146,SC,298,1466,0
4/30/2020,20641,1095,53,Maine,5.9,30.4,27,19.4,17.8,199.1,8.1,22.5,2.5,2.5,11.1,10.7,43,1329328,ME,107,2791,0
4/30/2020,23863,2054,66,New Hampshire,4.4,29.6,35.2,18.3,15.6,162.9,5.8,21.5,2.1,2.1,7.7,8.6,148,1330608,NH,78,1374,889
4/30/2020,20079,4323,224,District of Columbia,9.8,24.7,38.8,26.3,13.8,466.1,3.5,19.6,4.4,4.4,16.6,21.8,11011,672228,DC,116,1113,0
4/30/2020,42667,7145,162,Iowa,7.1,35.3,10.6,23.7,16.6,152.2,4.7,22.9,3,3,10.7,9.3,55,3123899,IA,105,2043,0
4/30/2020,48379,3255,61,Arkansas,7.1,37.1,14.2,15.8,22.7,122.3,8.1,31,3.2,3.2,16.4,19.4,57,2978204,AR,174,906,0
4/30/2020,177626,10735,199,Tennessee,7.4,34.4,24.3,15.7,20.7,139.1,9.8,30.9,2.9,2.9,15,16.4,160,6600299,TN,615,3272,0
4/30/2020,269867,52918,2355,Illinois,9.3,31.8,18.1,20.4,15.5,190,6.9,24.6,2.5,2.5,12.6,20.5,231,12859995,IL,1273,8583,0
